Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
#Gadhvi (He thought he was Gandhi),2019.0,109.0,269,7.0,8.0,812,1783,Vivek Ghamande,Arvind Jangid
#Yaaram,2019.0,110.0,208,4.4,35.0,1750,1590,Ishita Raj,Siddhant Kapoor
...Aur Pyaar Ho Gaya,1997.0,147.0,178,4.7,827.0,2006,509,Aishwarya Rai Bachchan,Shammi Kapoor
...Yahaan,2005.0,142.0,332,7.4,1086.0,2644,932,Minissha Lamba,Yashpal Sharma
?: A Question Mark,2012.0,82.0,368,5.6,326.0,175,2521,Muntazir Ahmad,Kiran Bhatia
@Andheri,2014.0,116.0,38,4.0,11.0,520,399,Fathima Babu,Byon
1:1.6 An Ode to Lost Love,2004.0,96.0,269,6.2,17.0,1410,1787,Gulshan Grover,Atul Kulkarni
1:13:7 Ek Tera Saath,2016.0,120.0,363,5.9,59.0,336,1513,Anubhav Dhir,Hritu Dudani
100 Days,1991.0,161.0,371,6.5,983.0,1805,871,Madhuri Dixit,Javed Jaffrey
100% Love,2012.0,166.0,180,5.7,512.0,1978,919,Koyel Mallick,Sujoy Ghosh
102 Not Out,2018.0,102.0,172,7.4,6619.0,2936,207,Rishi Kapoor,Vijay Raaz
10ml LOVE,2010.0,87.0,180,6.3,162.0,2588,1449,Anusha Bose,Manu Rishi Chadha
12 O'Clock,1958.0,132.0,224,7.2,72.0,1873,781,Waheeda Rehman,Shashikala
12 O'Clock,2021.0,105.0,373,4.4,63.0,2147,1305,Makrand Deshpande,Dalip Tahil
127 B,2017.0,116.0,192,6.6,26.0,2537,1251,Aziz Naser,Heena Shaik
13B: Fear Has a New Address,2009.0,146.0,311,7.3,6329.0,3036,1159,Neetu Chandra,Poonam Dhillon
15 Park Avenue,2005.0,116.0,269,7.1,1002.0,308,2031,Konkona Sen Sharma,Rahul Bose
15th August,1993.0,168.0,269,5.6,15.0,2996,1863,Tisca Chopra,Shakti Kapoor
16 December,2002.0,158.0,84,6.9,1235.0,1457,1298,Danny Denzongpa,Gulshan Grover
18.11,2014.0,126.0,1,3.5,10.0,1576,1815,Gulshan Grover,Mukesh Tiwari
1857,1946.0,0.0,303,5.0,8.0,1572,1453,Suraiya,Menaka Devi
19 Revolutions,2004.0,94.0,269,4.5,16.0,2711,2344,Gulshan Grover,Vinay Pandey
1920,2008.0,138.0,367,6.4,3100.0,3035,1722,Adah Sharma,Anjori Alagh
1920 London,2016.0,120.0,366,4.1,1559.0,693,2077,Meera Chopra,Vishal Karwal
1920: Evil Returns,2012.0,124.0,312,4.8,1811.0,517,2431,Tia Bajpai,Tarakesh Chauhan
1921,2018.0,144.0,367,4.5,1069.0,3035,2546,Karan Kundra,Vikram Bhatt
1942: A Love Story,1994.0,157.0,45,7.2,3223.0,3000,251,Jackie Shroff,Manisha Koirala
1971,2007.0,136.0,53,8.1,1892.0,220,1225,Ravi Kishan,Deepak Dobriyal
1978: A Teen Night Out,2019.0,107.0,427,4.0,20.0,431,57,Apurva Godbole,Vaishnavi Kadam
1982 - A Love Marriage,2017.0,113.0,162,5.5,106.0,1883,208,Omna,Rita Agarwal
19th January,2014.0,0.0,269,7.3,16.0,2443,1359,Bidita Bag,Madhuri Bhatia
2 Little Indians,2013.0,0.0,184,5.6,14.0,2212,1797,Ronak Bhatia,Kamal Chopra
2 Nights in Soul Valley,2012.0,80.0,120,6.8,21.0,916,813,Sumeet Sharma,Sumeet Sharma
2 October,2003.0,122.0,38,5.0,33.0,2812,383,Rocky Verma,Saadhika
2 States,2014.0,149.0,180,6.9,24034.0,72,328,Alia Bhatt,Amrita Singh
2.0,2018.0,148.0,82,6.2,21938.0,2316,1712,Akshay Kumar,Amy Jackson
2001: Do Hazaar Ek,1998.0,149.0,237,3.5,112.0,2020,871,Dimple Kapadia,Tabu
2016 the End,2017.0,130.0,162,6.1,94.0,1039,677,Kiku Sharda,Harshad Chopda
22 Days,2018.0,124.0,427,6.1,8.0,2635,1653,Shivam Tiwari,Sophia Singh
22 June 1897,1979.0,121.0,303,7.7,52.0,1082,1377,Sadashiv Amrapurkar,Udayan Dixit
22 Yards,2019.0,126.0,426,6.1,361.0,1553,447,Amartya Ray,Rajit Kapoor
23rd March 1931: Shaheed,2002.0,188.0,153,5.1,642.0,866,509,Sunny Deol,Amrita Singh
25th July,1951.0,0.0,0,7.6,5.0,599,0,0,0
26 January,1956.0,0.0,0,6.6,7.0,2181,119,0,0
26th July at Barista,2008.0,0.0,269,3.1,32.0,1569,125,Himani Chawla,Sumeet Chawla
27 Down,1974.0,115.0,269,6.9,194.0,420,2239,Rakhee Gulzar,Sadhu Meher
3 AM: A Paranormal Experience,2014.0,103.0,369,5.0,514.0,3072,1934,Kavin Dave,Jason Matthew Ethier
3 Bachelors,2012.0,114.0,208,3.3,165.0,108,2077,Negar Khan,Nigaar Khan
3 Deewarein,2003.0,115.0,218,7.8,2322.0,1651,1406,Jackie Shroff,Juhi Chawla
3 Dev,2019.0,122.0,162,6.9,35.0,278,1020,Ravi Dubey,Kunaal Roy Kapur
3 Idiots,2009.0,170.0,172,8.4,357889.0,2107,19,Madhavan,Mona Singh
3 Nights 4 Days,2009.0,0.0,327,5.2,23.0,674,1943,Hrishitaa Bhatt,Anuj Sahani
3 Storeys,2018.0,100.0,269,6.9,358.0,325,99,Tarun Anand,Richa Chadha
3.0 Megapixel,2015.0,99.0,103,4.3,6.0,739,2023,Meenal Chirankar,Pooja Kasekar
30 Days,2004.0,0.0,363,5.0,14.0,2225,33,Milind Gunaji,Dinesh Hingoo
30 Minutes,2016.0,0.0,427,4.8,26.0,3110,1759,Hrishitaa Bhatt,Shiva Kumar
31st October,2015.0,109.0,45,5.8,238.0,2632,2171,Lakha Lakhwinder Singh,Nagesh Bhonsle
340,2009.0,0.0,427,4.6,9.0,2839,1642,Iqbal Azad,Ahsaas Channa
36 China Town,2006.0,140.0,207,5.7,4373.0,39,1252,Akshaye Khanna,Kareena Kapoor
36 Chowringhee Lane,1981.0,122.0,327,7.5,392.0,308,923,Dhritiman Chatterjee,Debashree Roy
36 Ghante,1974.0,0.0,29,6.7,128.0,2027,1636,Mala Sinha,Sunil Dutt
376 D,2020.0,128.0,240,5.7,252.0,873,1848,Vivek Kumar,Deeksha Joshi
377 AbNormal,2019.0,93.0,269,5.6,93.0,777,1365,Shashank Arora,Mohd. Zeeshan Ayyub
3D Saamri,1985.0,102.0,363,5.6,80.0,2666,2371,Rajan Sippy,Arti Gupta
3G: A Killer Connection,2013.0,125.0,372,3.6,1128.0,2605,2064,Neil Nitin Mukesh,Sonal Chauhan
3rd EYE,2019.0,145.0,363,6.3,6.0,2460,596,Mukul Dev,Sakshi Dwivedi
404: Error Not Found,2011.0,121.0,326,7.3,2548.0,1905,1730,Imaaduddin Shah,Nishikant Kamat
417 Miles,2016.0,75.0,269,4.8,9.0,1437,1241,Kyara Jacob,Kyara Ralella Jacob
42 Kms.,2009.0,0.0,334,3.9,14.0,1722,1198,Bikram Saluja,Sammir Dattani
498A-The Wedding Gift,2012.0,113.0,289,7.8,21.0,2761,2220,Farida Jalal,Supriya Karnik
5 Ghantey Mien 5 Crore,2012.0,111.0,427,5.7,75.0,766,1409,Shawar Ali,Rashid Khan
5 Rifles,1974.0,134.0,18,6.5,36.0,969,1733,Rajesh Khanna,Ambika Johar
50 Lakh,2007.0,0.0,214,6.5,82.0,578,1539,Mohit Chadha,Veerendra Chauhan
5ters: Castle of Dark Master,2011.0,110.0,8,4.6,19.0,793,132,Avinash,Gagan
6.40 PM,1967.0,0.0,0,5.4,5.0,1455,0,0,0
6-5=2,2014.0,104.0,363,4.2,171.0,499,1586,Gaurav Paswala,Gaurav Kothari
68 Pages,2007.0,92.0,269,6.2,31.0,2710,1335,Joy Sengupta,Jayati Bhatia
7 1/2 Phere: More Than a Wedding,2005.0,136.0,172,5.3,281.0,1000,952,Irrfan Khan,Manoj Pahwa
7 Bijliyaan,1988.0,126.0,1,5.0,7.0,2124,2355,Shoma Anand,Krishan Dhawan
7 Days,1995.0,0.0,39,3.4,10.0,2800,354,Channa Ruparel,Avtar Gill
7 Hours to Go,2016.0,115.0,240,5.7,398.0,2526,1960,Natasa Stankovic,Shiv Panditt
7 Islands and a Metro,2006.0,100.0,241,6.2,10.0,749,2429,Harish Khanna,Om Prakash
7 Khoon Maaf,2011.0,137.0,326,6.1,5640.0,3070,1623,Vivaan Shah,Neil Nitin Mukesh
7 Saal Baad,1987.0,127.0,310,4.1,34.0,2350,2078,Suresh Oberoi,Navin Nischol
706,2019.0,120.0,427,5.3,449.0,2647,1311,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,2019.0,130.0,17,5.3,249.0,416,408,Yeshi Dema,Alka Amin
8 x 10 Tasveer,2009.0,122.0,63,5.4,5459.0,1651,146,Ayesha Takia,Javed Jaffrey
8119 Miles,2021.0,115.0,109,6.6,21.0,1111,1772,Kuriakose Oonnittan,Guy Bleyaert
88 Antop Hill,2003.0,119.0,408,4.7,66.0,1362,397,Rahul Dev,Suchitra Pillai
9 O' Clock,2017.0,124.0,1,5.3,9.0,219,344,Ajeet Goswami,Rohit Rajawat
99,2009.0,135.0,165,7.3,2767.0,1324,1673,Kunal Khemu,Boman Irani
99 Songs,2019.0,128.0,396,7.4,1901.0,3086,688,Edilsy Vargas,Tenzing Dalha
99.9 FM,2005.0,90.0,218,4.8,38.0,2444,2087,Rajkumar Kanojia,Jai Nagra
A Billion Colour Story,2016.0,105.0,269,8.1,412.0,1776,643,Gaurav Sharma,Vasuki
A Daughter's Tale PANKH,2017.0,145.0,269,6.3,10.0,1918,1711,Sunil Lahri,Nishigandha Wad
A Death in the Gunj,2016.0,110.0,336,7.5,4637.0,1315,980,Vikrant Massey,Gulshan Devaiah
A Far Afternoon: a Painted Saga by Krishen Khanna,2015.0,72.0,244,7.7,10.0,2723,0,0,0
A Film by Aravind,2005.0,150.0,366,6.8,179.0,2532,2095,Rajeev Kanakala,Richard Rishi
A Flat,2010.0,103.0,312,4.5,202.0,936,932,Sanjay Suri,Hazel Croney
A Flying Jatt,2016.0,151.0,4,3.0,4145.0,2245,2353,Jacqueline Fernandez,Nathan Jones
A Game Called Relationship,2020.0,109.0,208,6.3,181.0,3091,1199,Vivek Sharma,Sumit Suri
A Gentleman,2017.0,145.0,18,6.2,5227.0,1324,1673,Sidharth Malhotra,Jacqueline Fernandez
A Gift of Love: Sifar,2019.0,95.0,327,8.0,33.0,706,1969,Sudha Chandran,Anang Desai
A Journey of Samyak Buddha,2013.0,127.0,269,7.3,17.0,1899,740,Jyoti Bagat,Gautam Dhengare
A Mermaid Called Aida,1996.0,52.0,241,6.4,7.0,2266,97,Ajay Mehta,0
A New Love Ishtory,2013.0,140.0,409,6.0,80.0,1120,1780,Gurpreet Kaur Chadha,Smita Jaykar
A Rifle and a Bag,2020.0,89.0,241,6.8,15.0,606,855,Arya Rothe,0
A Scandall,2016.0,112.0,427,3.1,142.0,1000,940,Reeth Mazumder-Roberts,Manav Kaul
A Strange Love Story,2011.0,0.0,269,3.8,15.0,2894,1921,Gunjan Bakshi,Snehal Dabi
A Sublime Love Story: Barsaat,2005.0,143.0,327,3.8,627.0,2790,509,Bipasha Basu,Priyanka Chopra Jonas
